Sample	Population_descriptor	Source	Haplotype	Sample_hap	x1	x2
HG00132	British from England and Scotland	1000G	1	HG00132_H2	0.45763145265758126	-1.3617362250845442
HG00136	British from England and Scotland	1000G	0	HG00136_H1	0.458050083947746	-1.3484923858362856
HG00136	British from England and Scotland	1000G	1	HG00136_H2	0.4605320769795098	-1.3715340364725161
HG00137	British from England and Scotland	1000G	0	HG00137_H1	0.4541240243315044	-1.384703292583238
HG00137	British from England and Scotland	1000G	1	HG00137_H2	0.46859071035121364	-1.3763664049907125
HG00138	British from England and Scotland	1000G	0	HG00138_H1	0.4677879027652477	-1.3577885249489214
HG00138	British from England and Scotland	1000G	1	HG00138_H2	0.45241870002454393	-1.3818973054221817
HG00139	British from England and Scotland	1000G	0	HG00139_H1	0.4523005129997431	-1.3764475128676996
HG00139	British from England and Scotland	1000G	1	HG00139_H2	0.463365673904765	-1.384009106101558
HG00141	British from England and Scotland	1000G	0	HG00141_H1	0.4679052091580616	-1.3566292881138098
HG00141	British from England and Scotland	1000G	1	HG00141_H2	0.4711973018493023	-1.3839486112363366
HG00143	British from England and Scotland	1000G	0	HG00143_H1	0.44885269702963076	-1.3665197966148397
HG00143	British from England and Scotland	1000G	1	HG00143_H2	0.4603428558872327	-1.3822127283336596
HG00145	British from England and Scotland	1000G	0	HG00145_H1	0.4782824924362941	-1.3277058925767553
HG00145	British from England and Scotland	1000G	1	HG00145_H2	0.4532566799223911	-1.356152422148021
HG00148	British from England and Scotland	1000G	0	HG00148_H1	0.4633574487362688	-1.3838918498698196
HG00148	British from England and Scotland	1000G	1	HG00148_H2	0.4803203460710175	-1.3739727719736734
HG00149	British from England and Scotland	1000G	0	HG00149_H1	0.46527273905789646	-1.400577377036149
HG00149	British from England and Scotland	1000G	1	HG00149_H2	0.43449117479377813	-1.385332066869378
HG00150	British from England and Scotland	1000G	0	HG00150_H1	0.470197207083234	-1.351953414428445
HG00150	British from England and Scotland	1000G	1	HG00150_H2	0.4621012272210388	-1.339892293634935
HG00151	British from England and Scotland	1000G	0	HG00151_H1	0.45082542337028586	-1.3585499374783159
HG00151	British from England and Scotland	1000G	1	HG00151_H2	0.475564153842713	-1.3386874495628471
HG00155	British from England and Scotland	1000G	0	HG00155_H1	0.46906143748192614	-1.3578927467152402
HG00155	British from England and Scotland	1000G	1	HG00155_H2	0.4842543334881197	-1.358480494132315
HG00157	British from England and Scotland	1000G	0	HG00157_H1	0.4541009145369685	-1.3665495061055735
HG00157	British from England and Scotland	1000G	1	HG00157_H2	0.4526062627980288	-1.353057574126183
HG00158	British from England and Scotland	1000G	0	HG00158_H1	0.45582533282724835	-1.3381888970635258
HG00158	British from England and Scotland	1000G	1	HG00158_H2	0.46212910472953284	-1.3177452800363945
HG00159	British from England and Scotland	1000G	0	HG00159_H1	0.4653185714623005	-1.3548254646850495
HG00159	British from England and Scotland	1000G	1	HG00159_H2	0.4657754671929841	-1.3791284043792462
HG00160	British from England and Scotland	1000G	0	HG00160_H1	0.4800126815908023	-1.3824397249352705
HG00160	British from England and Scotland	1000G	1	HG00160_H2	0.4589792897110151	-1.3722294771447103
HG00171	Finnish in Finland	1000G	0	HG00171_H1	0.5163817378302403	-1.1795552298172196
HG00171	Finnish in Finland	1000G	1	HG00171_H2	0.5263092693193567	-1.154328716225409
HG00173	Finnish in Finland	1000G	0	HG00173_H1	0.5140153982958056	-1.1748984462228147
HG00173	Finnish in Finland	1000G	1	HG00173_H2	0.5176086977445877	-1.1903630642740524
HG00174	Finnish in Finland	1000G	0	HG00174_H1	0.5012762888360657	-1.2476747037073208
HG00174	Finnish in Finland	1000G	1	HG00174_H2	0.48892867440713356	-1.2764868077457774
HG00176	Finnish in Finland	1000G	0	HG00176_H1	0.49642664088294836	-1.168805075242703
HG00176	Finnish in Finland	1000G	1	HG00176_H2	0.505278796315293	-1.1784267049264
HG00177	Finnish in Finland	1000G	0	HG00177_H1	0.5096381055664566	-1.1332479617240394
HG00177	Finnish in Finland	1000G	1	HG00177_H2	0.5090201675071895	-1.1492377412363162
HG00178	Finnish in Finland	1000G	0	HG00178_H1	0.5075815166064406	-1.2009155976670194
HG00178	Finnish in Finland	1000G	1	HG00178_H2	0.5090151406283998	-1.198719220707828
HG00179	Finnish in Finland	1000G	0	HG00179_H1	0.4813830050185958	-1.176266750311708
HG00179	Finnish in Finland	1000G	1	HG00179_H2	0.48838623120481056	-1.1755484500036855
HG00180	Finnish in Finland	1000G	0	HG00180_H1	0.5003989959117545	-1.1557431833697644
